position,driver_code,constructor,points
1,ANT,Mercedes,131
2,RUS,Mercedes,88
3,LEC,Ferrari,75
4,HAM,Ferrari,72
5,NOR,McLaren,58
6,PIA,McLaren,48
7,VER,Red Bull,43
8,GAS,Alpine F1 Team,20
9,BEA,Haas F1 Team,18
10,LAW,RB F1 Team,16
11,COL,Alpine F1 Team,15
12,HAD,Red Bull,14
13,SAI,Williams,6
14,LIN,RB F1 Team,5
15,BOR,Audi,2
16,OCO,Haas F1 Team,1
17,ALB,Williams,1
18,ALO,Aston Martin,0
19,BOT,Cadillac F1 Team,0
20,HUL,Audi,0
21,PER,Cadillac F1 Team,0
22,STR,Aston Martin,0
